CASE_ID,CHILD_DRIV,AGE,INCOME,HOUSE,VEHICLE,MARRIED,GENDER,DISTANCE,CAR_USE,MVR_PTS,CLAIM_IND,AREA
1,0,67,53841,171000,11764,0,1,71,Private,2,0,Highly Urban/ Urban
2,0,32,125861,386231,26159,0,0,91,Commercial,0,1,Highly Urban/ Urban
3,0,71,107512,329619,22193,0,1,93,Commercial,3,0,Highly Rural/ Rural
4,0,62,78060,235245,16083,0,0,60,Private,0,1,Highly Urban/ Urban
5,0,50,53202,167899,11181,1,0,81,Private,0,0,Highly Rural/ Rural
6,0,67,60122,182309,12412,1,1,70,Commercial,5,0,Highly Urban/ Urban
7,0,68,88020,270021,18080,0,1,90,Private,6,1,Highly Urban/ Urban
8,0,63,60905,191584,13029,1,1,87,Private,0,0,Highly Urban/ Urban
9,0,51,20663,65006,5038,1,0,93,Private,0,0,Highly Urban/ Urban
10,0,45,47241,146329,10053,0,0,74,Private,1,0,Highly Urban/ Urban
11,0,69,38900,124130,8521,1,0,61,Commercial,2,1,Highly Urban/ Urban
12,1,39,46048,144972,9967,1,1,61,Private,2,0,Highly Urban/ Urban
13,0,47,49804,154452,10845,1,1,75,Private,3,0,Highly Urban/ Urban
14,2,51,131500,401672,26577,0,0,50,Commercial,0,0,Highly Rural/ Rural
15,0,43,36441,117014,7779,1,1,83,Commercial,0,0,Highly Urban/ Urban
16,0,57,960,9866,614,1,0,110,Private,0,0,Highly Rural/ Rural
17,0,41,115604,347041,23410,0,0,63,Private,2,0,Highly Urban/ Urban
18,0,49,168429,514668,34591,0,0,67,Private,3,0,Highly Urban/ Urban
19,0,58,15068,46678,3366,1,1,67,Commercial,4,0,Highly Urban/ Urban
20,0,47,76698,234086,15893,1,0,85,Private,2,0,Highly Urban/ Urban
21,0,63,33334,100268,7571,0,0,89,Private,2,0,Highly Rural/ Rural
22,0,46,58034,174539,12294,1,1,50,Commercial,3,0,Highly Urban/ Urban
23,0,48,27480,91686,6373,1,1,107,Commercial,2,0,Highly Urban/ Urban
24,0,46,33324,102222,7119,1,1,85,Private,9,0,Highly Urban/ Urban
25,0,50,17949,58989,4067,0,1,65,Commercial,17,1,Highly Urban/ Urban
26,0,66,18315,56552,3932,0,0,74,Private,2,0,Highly Urban/ Urban
27,0,52,56608,173626,11721,1,1,60,Private,4,0,Highly Urban/ Urban
28,0,54,45720,144872,9365,1,1,75,Private,2,0,Highly Urban/ Urban
29,1,63,64912,199097,13216,1,0,95,Private,4,1,Highly Urban/ Urban
30,0,60,23470,75059,4972,1,1,71,Private,0,1,Highly Rural/ Rural
31,0,45,15154,51075,3780,0,0,58,Private,4,1,Highly Urban/ Urban
32,1,44,3109,18115,1572,1,0,80,Private,4,0,Highly Urban/ Urban
33,2,47,137663,413238,28188,0,0,74,Private,2,1,Highly Urban/ Urban
34,0,65,80498,244011,16457,0,0,58,Private,4,0,Highly Urban/ Urban
35,0,65,75682,231670,15335,1,0,54,Private,0,0,Highly Urban/ Urban
36,1,55,103353,315124,21301,0,1,70,Private,6,1,Highly Urban/ Urban
37,0,83,41216,129572,9091,1,0,102,Private,2,1,Highly Urban/ Urban
38,0,67,33133,106014,7534,1,1,59,Commercial,6,1,Highly Urban/ Urban
39,0,62,140290,424118,28112,0,0,80,Commercial,0,0,Highly Rural/ Rural
40,0,45,163856,495524,33143,0,0,87,Private,0,0,Highly Rural/ Rural
41,0,35,18415,59434,4660,0,0,95,Private,2,0,Highly Rural/ Rural
42,0,55,1360,7205,1064,1,1,86,Commercial,5,0,Highly Rural/ Rural
43,0,49,39002,121361,8078,0,1,60,Private,0,0,Highly Urban/ Urban
44,0,64,46747,146657,10179,1,0,50,Private,0,0,Highly Urban/ Urban
45,0,56,960,8258,428,1,0,81,Private,2,0,Highly Urban/ Urban
46,2,37,143548,440539,28722,1,1,73,Private,4,0,Highly Urban/ Urban
47,0,52,52525,167372,11503,0,1,81,Private,7,0,Highly Urban/ Urban
48,0,47,105944,321917,22135,1,1,69,Private,6,0,Highly Urban/ Urban
49,0,66,66825,207212,13501,1,1,104,Private,3,1,Highly Urban/ Urban
